pipeline,contrast_metric,sharpness,edge_strength,entropy,snr,dynamic_range,resize,denoise,contrast
cubic+none+none,60.39689338589303,1470.529289972037,78.10312669546111,7.375521,2.0523990359938877,254.74,cubic,none,none
cubic+none+clahe,69.44680920620776,3670.6285235812516,127.00735582747198,7.579043,2.0253883615320643,252.84,cubic,none,clahe
cubic+none+hist_eq,78.45613768358241,3059.1509096352756,109.71793057522841,7.20952,1.512329806496567,255.0,cubic,none,hist_eq
cubic+median_3+none,59.48936090743792,371.78587520115076,65.39610834223643,7.3239946,2.078764379986227,246.44,cubic,median_3,none
cubic+median_3+clahe,70.68892520877317,928.9520989651232,105.6225908556888,7.522998,2.12099620379188,252.68,cubic,median_3,clahe
cubic+median_3+hist_eq,78.44697138844684,845.012036107555,93.3113290105723,7.1618133,1.5135803615202112,255.0,cubic,median_3,hist_eq
cubic+median_5+none,58.73763979615641,178.6570244064182,54.840756613992234,7.289701,2.103853541688941,230.92,cubic,median_5,none
cubic+median_5+clahe,70.81559979860553,472.8734551589936,89.41909854109275,7.4837036,2.1803121773882617,252.68,cubic,median_5,clahe
cubic+median_5+hist_eq,78.4133196317611,435.38806312114,78.61422948627433,7.1301866,1.5157376434527123,255.0,cubic,median_5,hist_eq
cubic+gaussian_3+none,59.10991476952768,102.08129393167793,65.70437014059335,7.398477,2.0987284713628616,235.16,cubic,gaussian_3,none
cubic+gaussian_3+clahe,69.65678463454883,329.35006262980403,109.52973320130626,7.622582,2.0928849360319544,252.7,cubic,gaussian_3,clahe
cubic+gaussian_3+hist_eq,77.7049061943611,261.6211347735673,93.3499914252597,7.2398577,1.5499178808148897,255.0,cubic,gaussian_3,hist_eq
cubic+gaussian_5+none,58.52654342248456,46.44129354558885,59.76801127902409,7.418085,2.1196927177598095,230.76,cubic,gaussian_5,none
cubic+gaussian_5+clahe,69.43548052884154,161.6048625893146,100.45130398445536,7.6488185,2.1298749371643066,252.74,cubic,gaussian_5,clahe
cubic+gaussian_5+hist_eq,77.18586406560846,126.94143509745598,84.90704731472174,7.259072,1.575058913795358,255.0,cubic,gaussian_5,hist_eq
cubic+bilateral+none,57.101711339320126,258.76753627985715,46.904411250172785,7.4456434,2.1730382120791014,237.48,cubic,bilateral,none
cubic+bilateral+clahe,68.7406376894447,375.5727450282127,77.72903301811441,7.6871986,2.213339785490338,252.64,cubic,bilateral,clahe
cubic+bilateral+hist_eq,76.23880905804086,402.8955631945282,66.49055617090853,7.2850437,1.6209655957990021,255.0,cubic,bilateral,hist_eq
linear+none+none,60.33808353537325,1384.8704479926826,77.46429187871644,7.373086,2.0525939065581755,254.68,linear,none,none
linear+none+clahe,69.60229759451073,3396.2109033276142,125.80947782542296,7.5789876,2.0236952757759723,252.82,linear,none,clahe
linear+none+hist_eq,78.44988143411688,2859.0230724026264,108.87971109469464,7.2075853,1.5126432853137777,255.0,linear,none,hist_eq
linear+median_3+none,59.464299238681406,366.1316433879733,65.24418041560567,7.3236785,2.0778200990752596,245.92,linear,median_3,none
