pipeline,contrast_metric,sharpness,edge_strength,entropy,snr,dynamic_range,TOTAL_SCORE,resize,denoise,contrast
nearest+none+clahe,0.5848869296363544,1.0,1.0,0.79902273,0.7057463713143288,0.9354052407068859,0.876365434875361,nearest,none,clahe
cubic+none+clahe,0.580779736314062,0.9638099789520994,0.9929110146448159,0.803881,0.7173928473014364,0.9341864716636198,0.8663616962880807,cubic,none,clahe
linear+none+clahe,0.5879660429431104,0.8909529078076719,0.9782469611535136,0.80378217,0.7150381078540036,0.9335770871419864,0.8453609267592276,linear,none,clahe
area+none+clahe,0.6038755735229112,0.3894637812155055,0.9024693595094255,0.83165586,0.753433930755677,0.9293113954905547,0.7104986292859496,area,none,clahe
nearest+none+hist_eq,1.0,0.8348241900233417,0.7867813485697721,0.1388022,0.0,1.0,0.6831618251319678,nearest,none,hist_eq
cubic+none+hist_eq,0.9971696524155726,0.8014644707397992,0.7812591967642832,0.14395761,0.003832288400037702,1.0,0.6742395017655658,cubic,none,hist_eq
linear+none+hist_eq,0.9968805033189883,0.7483311185091263,0.7709979720995231,0.14050278,0.004268273957275306,1.0,0.6576783176105229,linear,none,hist_eq
nearest+median_3+clahe,0.6424116259807652,0.24938321656258855,0.7354704885604513,0.7031475,0.8383506722458866,0.9293113954905547,0.6180533434899051,nearest,median_3,clahe
nearest+gaussian_3+clahe,0.5924081091643396,0.07835522013410672,0.7842659372506738,0.88027817,0.8069264131848797,0.9317489335770869,0.6140933597200223,nearest,gaussian_3,clahe
linear+median_3+clahe,0.6420758686572908,0.23260556887393324,0.7297547638678177,0.70854306,0.8476379418725297,0.9287020109689212,0.6138621741165666,linear,median_3,clahe
cubic+median_3+clahe,0.6381874087499625,0.23590295119406907,0.7311253094989196,0.70379126,0.8503639958939218,0.9293113954905547,0.6136927769140498,cubic,median_3,clahe
cubic+gaussian_3+clahe,0.590484305440372,0.07671037391259272,0.7789553424874733,0.88163644,0.8112669147960115,0.9299207800121874,0.6123717868078791,cubic,gaussian_3,clahe
linear+gaussian_3+clahe,0.5916358664153567,0.0749269247227867,0.7746476529071631,0.8813179,0.8111791201049321,0.9299207800121874,0.61095364406294,linear,gaussian_3,clahe
area+median_3+clahe,0.6345527574241436,0.17307016103859135,0.7154557084873174,0.7599245,0.8602797372147593,0.9280926264472878,0.6051225307366952,area,median_3,clahe
area+gaussian_3+clahe,0.5927432316683522,0.05744215654516027,0.7421777173403007,0.90325105,0.8244796300491516,0.9287020109689212,0.6035608551422187,area,gaussian_3,clahe
nearest+gaussian_5+clahe,0.5834119405425408,0.0326986391837834,0.6718386322343848,0.92915934,0.8596495981204155,0.9311395490554543,0.5855744183564829,nearest,gaussian_5,clahe
linear+gaussian_5+clahe,0.5844861885490299,0.031693829593960735,0.6649571873177038,0.93196523,0.856513561544365,0.9317489335770869,0.5842293062847514,linear,gaussian_5,clahe
cubic+gaussian_5+clahe,0.5802561515618899,0.03217451662256079,0.6678200086511509,0.9284917,0.8627125161269131,0.9311395490554543,0.5839849800681379,cubic,gaussian_5,clahe
area+gaussian_5+clahe,0.5784544387260869,0.02705595902881539,0.6463598454438463,0.9374119,0.8709910197221523,0.9299207800121874,0.5791461327418738,area,gaussian_5,clahe
nearest+bilateral+clahe,0.5483628480888358,0.10954915712204805,0.3937178918641205,0.99293196,0.9764394352678234,0.9287020109689212,0.5483497517425675,nearest,bilateral,clahe
cubic+bilateral+clahe,0.5481421541283658,0.08898236015339792,0.3896609671424666,0.99703395,0.9787952190379343,0.9280926264472878,0.5430379662929516,cubic,bilateral,clahe
linear+bilateral+clahe,0.5474503116830918,0.08671168234597015,0.38768907000672714,0.99848163,0.9788982943924409,0.9268738574040217,0.5420463675169251,linear,bilateral,clahe
area+none+hist_eq,0.9837342489459013,0.31739138903912884,0.698492632184477,0.16138421,0.024230521057409277,1.0,0.5350195114438154,area,none,hist_eq
area+median_5+clahe,0.6359050029225822,0.09861412032761548,0.5263371636201394,0.6845406,0.9511402849479469,0.9293113954905547,0.5290198540793914,area,median_5,clahe
nearest+median_5+clahe,0.6512431383801687,0.11938028629397225,0.5337442025617471,0.632518,0.922131346357307,0.9287020109689212,0.5264479630559779,nearest,median_5,clahe
linear+median_5+clahe,0.6481292003791462,0.11485185273027684,0.5323302565766412,0.6340415,0.9323005148185316,0.9274832419256552,0.5251865579314505,linear,median_5,clahe
cubic+median_5+clahe,0.6440420095634364,0.11481541254212353,0.5327671481162869,0.63361657,0.9328605040523058,0.9293113954905547,0.5247994256428574,cubic,median_5,clahe
area+bilateral+clahe,0.5384398442660797,0.026852326497478755,0.3782534751901345,1.0,1.0,0.9195612431444246,0.52399855435649,area,bilateral,clahe
nearest+median_3+hist_eq,0.9986334272563909,0.2251951873352692,0.5840255867356755,0.0610544,0.002950079383242362,1.0,0.4644585919815578,nearest,median_3,hist_eq
cubic+median_3+hist_eq,0.9967460078706938,0.21361711136414469,0.5804146345108069,0.05875941,0.005571557208345314,1.0,0.4600502973103512,cubic,median_3,hist_eq
linear+median_3+hist_eq,0.9964231423088047,0.21060311737376572,0.5778713295393426,0.06418052,0.00610686173402089,1.0,0.45972353135151633,linear,median_3,hist_eq
nearest+none+none,0.1675525190325412,0.4092964292394918,0.4001328835480896,0.43949786,0.7439054898574949,0.9951249238269348,0.45209754607464164,nearest,none,none
nearest+gaussian_3+hist_eq,0.9631836709363322,0.06037200718164461,0.5842473579853312,0.19997922,0.05496374066377034,1.0,0.4483764243726298,nearest,gaussian_3,hist_eq
cubic+gaussian_3+hist_eq,0.9624495045649054,0.0587285427503052,0.5808879278813415,0.19813727,0.05610968842653956,1.0,0.4467044829388974,cubic,gaussian_3,hist_eq
area+median_3+hist_eq,0.9831456531942077,0.14831428129151955,0.5563135641824392,0.1079812,0.025810739484464332,1.0,0.4465155862015714,area,median_3,hist_eq
linear+gaussian_3+hist_eq,0.9622718834604089,0.057485035355266445,0.5775137659267414,0.1996667,0.05603976749972804,1.0,0.4458258099758794,linear,gaussian_3,hist_eq
